Alipur, Delhi - DPCC
Anand Vihar, Delhi - DPCC
Ashok Vihar, Delhi - DPCC
Aya Nagar, Delhi - IMD
Bawana, Delhi - DPCC
Burari Crossing, Delhi - IMD
CRRI Mathura Road, Delhi - IMD
Chandni Chowk, Delhi - IITM
DTU, Delhi - CPCB
Dr. Karni Singh Shooting Range, Delhi - DPCC
Dwarka-Sector 8, Delhi - DPCC 
IGI Airport (T3), Delhi - IMD
IHBAS, Dilshad Garden, Delhi - CPCB
ITO, Delhi - CPCB
Jahangirpuri, Delhi - DPCC
Jawaharlal Nehru Stadium, Delhi - DPCC
Lodhi Road, Delhi - IITM
Lodhi Road, Delhi - IMD
Major Dhyan Chand National Stadium, Delhi - DPCC
Mandir Marg, Delhi - DPCC
Mundka, Delhi - DPCC
NSIT Dwarka, Delhi - CPCB
Najafgarh, Delhi - DPCC
Narela, Delhi - DPCC
Nehru Nagar, Delhi - DPCC
New Moti Bagh, Delhi - MHUA
North Campus, DU, Delhi - IMD
Okhla Phase-2, Delhi - DPCC
Patparganj, Delhi - DPCC
Punjabi Bagh, Delhi - DPCC
Pusa, Delhi - DPCC
Pusa, Delhi - IMD
R K Puram, Delhi - DPCC
Rohini, Delhi - DPCC
Shadipur, Delhi - CPCB
Sirifort, Delhi - CPCB
Sonia Vihar, Delhi - DPCC
Sri Aurobindo Marg, Delhi - DPCC
Vivek Vihar, Delhi - DPCC
Wazirpur, Delhi - DPCC
